map_index,original_name,corrected_name,family,doubtful,identified_by_sight,spp,has_map,map
353,Tockus erythrorhynchus,Tockus kempi,Bucerotidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_099_3
354,Tockus fasciatus,Lophoceros semifasciatus,Bucerotidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_099_4
355,Ceratogymna elata,,Bucerotidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_099_5
356,Bycanistes fistulator,,Bucerotidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_099_6
,Bycanistes subcylinaricus,,Bucerotidae,TRUE,TRUE,FALSE,FALSE,
357,Bucorvus abyssinicus,,Bucorvidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_100_1
358,Lybius dubius,,Lybiidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_100_2
359,Lybius vieilloti,,Lybiidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_100_3
360,Lybius hirsutus,Tricholaema hirsuta,Lybiidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_100_4
361,Pogeoniulus chrysoconus,,Lybiidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_100_5
362,Pogoniulus bilineatus,,Lybiidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_101_1
,Pogoniulus subsulphureus,,Lybiidae,TRUE,TRUE,FALSE,FALSE,
363,Pogoniulus atroflavus,,Lybiidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_101_2
364,Indicator maculatus,,Indicatoridae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_101_3
365,indicator indicator,,Indicatoridae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_101_4
366,Indicator minor,,Indicatoridae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_101_5
367,Prodotiscus insignis,,Indicatoridae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_101_6
